T [K];Conductivity [W/(m*K)]
4,00;3,16
7,00;5,66
10,00;8,22
15,00;12,60
20,00;16,90
25,00;21,00
30,00;25,10
40,00;32,60
50,00;39,40
60,00;45,60
70,00;51,00
80,00;56,00
90,00;60,80
100,00;65,00
150,00;84,20
200,00;101,00
250,00;114,00
273,15;119,00
293,00;123,00
300,00;124,00
350,00;133,00
400,00;141,00
450,00;160,00
500,00;177,00
550,00;183,00
600,00;185,00
650,00;183,00
700,00;180,00
750,00;176,00
775,00;173,00
911,00;87,20
950,00;88,80
1000,00;90,50
1100,00;93,70