T [K]; cp [J(Kg*K)]
427.6;599.4
438.6;601.6
449.5;605.4
460.4;613.3
471.4;616
482.3;612.3
493.2;618.2
504.2;622.6
515.1;627.3
526.1;636.1
537;636
547.9;636.7
558.9;639.7
569.8;640.6
580.7;641.1
591.7;644.8
602.6;642.7
613.6;643.3
624.5;645.9
635.4;644
646.4;650.3
657.3;652.8
668.2;651.2
679.2;656.2
690.1;661.8
701.1;662.8
712;668.6
722.9;671
733.9;676.6
744.8;675.1
755.8;674.7
766.7;666.8
777.6;659.8
788.6;650.3
798.5;639
808.5;633.4
819.4;633.7
830.3;629.3
840.8;638.2
847.7;650.9
855.2;665.6
863.6;676.1
868.6;687.6
873.6;699.3
882;709.9
890.5;718.6
897.4;733.1
906.9;744.3
917.8;744.8
927.3;738.4
936.7;728.2
947.7;727.9
958.6;725.6
969.5;733.1
980.5;737.3
991.4;744.5
1002.3;752.8
1013.3;752.6
1024.2;755.8
1035.2;758.5
1046.1;756.9
1057;756.9
1068;759.3
1078.9;763.9
1089.9;765.1
1097.8;764.1
1104.8;776
1111.7;789.2
1119.7;798.5
1130.1;808.2
1135.6;820.9
1138.1;837.3
1142.2;846.2
1144.5;864.5
1147.5;878.5
1150.5;893.9
1156.5;911.3
1164.4;918.9
1168.8;931
1172.9;948.1
1175.4;965.9
1177.4;982.8
1179.3;996.6
1181.3;1010.3
1184.8;1023.4
1187;1038
1189.8;1051.9
1192.3;1067.8
1195.3;1082.2
1198.2;1096.1
1200.6;1116.5
1205.3;1138.2
1214.2;1153.3
1218.7;1159.3
1223.6;1144.4
1227.6;1125.8
1232;1101
1234.9;1083.1
1236.4;1054.7
1241.1;1018
1241.3;1007.2
1242.6;993.4
1244.3;978.6
1246;960.3
1247.5;938.7
1248.9;920.3
1250.9;900.7
1251.9;885
1252.9;870.8
1254.4;856.2
1255.9;840.5
1256.9;825.6
1257.4;811.6
1258.4;794.4
1259.2;775.2
1260.2;749.9
1260.4;763.6
1261.4;737.5
1262.4;714.8
1263.2;688.4
1263.4;703.4
1264.2;663.9
1264.4;676.7
1265.4;647.3
1266.2;617.2
1266.3;630.9
1267.2;603
1268.2;577.6
1268.3;590.4
1269.5;562.5
1270.8;544
1271.8;525.7
1273.8;509.6
1275.8;494.4
1281.3;479
1287.3;469.3
1293.7;455.9
1302.6;453.1
1309.7;441.4
1318;427.7
1324;421.9